SKU/EAN,Descricao,Categoria,Unidade,Custo Unitario,Preco Venda,Saldo Contado,Validade
7898681940059,AGUA DE COCO 1 LITRO AQUA COCO,AGUA DE COCO,UN,,,,
7898994496007,AGUA DE COCO AJA COCO 300 ML,AGUA DE COCO,UN,,,,
7898994496021,AGUA DE COCO AJA COCO 900 ML,AGUA DE COCO,UN,,,,
7898902230389,AGUA DE COCO DO PORTO NATURAL 1 LT,AGUA DE COCO,UN,,,,
7896016608766,AGUA DE COCO DUCOCO 1LT,AGUA DE COCO,UN,,,,
7896016601972,AGUA DE COCO DUCOCO 200 ML,AGUA DE COCO,UN,,,,
7896828000239,AGUA DE COCO KERO COCO 1 LT,AGUA DE COCO,UN,,,,
7896828000017,AGUA DE COCO KERO COCO 200ML,AGUA DE COCO,UN,,,,
7896828000482,AGUA DE COCO KERO COCO 330 ML,AGUA DE COCO,UN,,,,
7898930848013,AGUA DE COCO NATUCOCO COPO 300 ML,AGUA DE COCO,UN,,,,
7896002110921,AGUARDENTE 51 OURO 965 ML,AGUARDENTE,UN,,,,
7896050200124,AGUARDENTE VELHO BARREIRO 910ML,AGUARDENTE,UN,,,,
7898947389981,ALGODAO ISABABY 50GR HIDROGILO,ALGODAO E COTONETE,UN,,,,
7898291219521,APARELHO BOZZANO COMFORT,APARELHO DE BARBEAR,UN,,,,
7898291219514,APARELHO BOZZANO COMFORT 2 LAMINAS,APARELHO DE BARBEAR,UN,,,,
7891050003300,BB GIN SEAGRAMS 750ML,BEBIDAS ALCOOLICAS,UN,,,,
5000329002537,BEB GIN BEEFEATER 750ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002111034,BEBIDA ICE 51 BALADA 275ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002111508,BEBIDA ICE 51 FRUIT MIX 275ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002110983,BEBIDA ICE 51 KIWI 275ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002110419,BEBIDA ICE 51 LIMAO 275 ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002110457,BEBIDA ICE 51 MARACUJA 275ML,BEBIDAS ALCOOLICAS,UN,,,,
7893218003603,BEBIDA SMIRNOFF ICE 275ML,BEBIDAS ALCOOLICAS,UN,,,,
897076002003,BULLDOG GIN 750 ML,BEBIDAS ALCOOLICAS,UN,,,,
5000289020701,CACHACA GIN GORDONS 750ML,BEBIDAS ALCOOLICAS,UN,,,,
7896037918646,GIN ROCKS STRAWBERRY ROSA 995 ML,BEBIDAS ALCOOLICAS,UN,,,,
5000291020706,GIN TANQUERAY 750ML,BEBIDAS ALCOOLICAS,UN,,,,
7896002112109,ICE 51 MELANCIA 275 ML,BEBIDAS ALCOOLICAS,UN,,,,
7894900336535,JACK&COKE LT 269ML,BEBIDAS ALCOOLICAS,UN,,,,
6001108093776,LICOR AMARULA VANILLA SPICE 750ML,BEBIDAS ALCOOLICAS,UN,,,,
8410221902915,LICOR CREME CHOCOLATE 43 700 ML,BEBIDAS ALCOOLICAS,UN1,,,,
618231762644,LICOR FINO BALLENA MORANGO COM TEQUILA 750ML,BEBIDAS ALCOOLICAS,UN1,,,,
7891121220001,LICOR STOCK COCONUT 720ML,BEBIDAS ALCOOLICAS,UN,,,,
7891121214000,LICOR STOCK KIWI 720ML,BEBIDAS ALCOOLICAS,UN,,,,
7898920634336,LOHAN XAROPE FRUTAS TROPICAIS 500 ML,BEBIDAS ALCOOLICAS,UN1,,,,
7898920634282,LOHAN XAROPE GENGIBRE 500 ML,BEBIDAS ALCOOLICAS,UN1,,,,
7898920634329,LOHAN XAROPE LIMÃO SICILIANO 500 ML,BEBIDAS ALCOOLICAS,UN1,,,,
7896010004007,SKYY VODKA 980 ML,BEBIDAS ALCOOLICAS,UN,,,,
7896010006315,MILANO CAMPARI 998ML,CAMPARI,UN,,,,
7898939191097,"CARVAO VEGETAL 4,5 KG",CARVAO,UN,,,,
7898939191011,CARVAO VEGETAL BRASA DE OURO 2.8KG,CARVAO,UN,,,,
7896045506934,CERVEJA AMSTEL LAGER SLEEK LATA 350ML,CERVEJAS,UN,,,,
7896045505319,CERVEJA AMSTEL LATA 269ML,CERVEJAS,UN,,,,
7896045506415,CERVEJA AMSTEL ULTRA 0.269LT UN,CERVEJAS,UN,,,,
7896045506439,CERVEJA AMSTEL ULTRA 0.275 LN,CERVEJAS,UN,,,,
7891991000796,CERVEJA ANTARCTICA PILSEM LATA 350ML,CERVEJAS,UN,,,,
7891991010061,CERVEJA ANTARCTICA PILSEN LATA 269ML,CERVEJAS,UN,,,,
7891991000178,CERVEJA ANTARCTICA PROFISSA PILSEN LONG NECK 300ML,CERVEJAS,UN,,,,
7898230716616,CERVEJA BADEN PILSEN CRISTAL LATA 350ML,CERVEJAS,UN,,,,
7898230716630,CERVEJA BADEN WITBIER SLEEK 350ML,CERVEJAS,UN,,,,
7891991307185,CERVEJA BEATS RED MIX LT 269ML,CERVEJAS,UN,,,,
7891149103270,CERVEJA BRAHMA CHOPP LATA 269ML,CERVEJAS,UN,,,,
7891149105151,CERVEJA BRAHMA PROFISSA 300ML,CERVEJAS,UN,,,,
7891991011877,CERVEJA BUDWEISER LATA 269ML,CERVEJAS,UN,,,,
